User_ID,Date,Steps,Heart_Rate_avg,Calories_Burned,Workout_Type
4001,2024-01-01,14748,68,598,Cardio
4002,2024-01-02,8943,74,428,Cardio
4003,2024-01-03,14195,69,724,None
4004,2024-01-04,7963,97,284,Strength
4005,2024-01-05,14671,93,622,Yoga
4006,2024-01-06,5207,64,437,Cardio
4007,2024-01-07,4717,67,331,Strength
4008,2024-01-08,11552,67,603,Yoga
4009,2024-01-09,8038,69,204,Cardio
4010,2024-01-10,1324,96,398,Strength
4011,2024-01-11,3534,85,549,Yoga
4012,2024-01-12,13670,89,755,Strength
4013,2024-01-13,11485,83,185,Strength
4014,2024-01-14,14626,88,176,Cardio
4015,2024-01-15,10181,81,618,Cardio
4016,2024-01-16,14285,80,480,Strength
4017,2024-01-17,6339,87,692,Strength
4018,2024-01-18,10668,90,509,Cardio
4019,2024-01-19,3821,96,349,Yoga
4020,2024-01-20,7944,91,788,None
4021,2024-01-21,11651,73,527,Strength
4022,2024-01-22,2329,69,344,None
4023,2024-01-23,9728,76,410,Yoga
4024,2024-01-24,3192,62,427,Cardio
4025,2024-01-25,4149,87,581,Cardio
4026,2024-01-26,11387,89,535,Strength
4027,2024-01-27,10852,68,221,Cardio
4028,2024-01-28,5959,81,263,None
4029,2024-01-29,7230,90,560,Strength
4030,2024-01-30,3696,92,576,Yoga
4031,2024-01-31,12606,72,442,Yoga
4032,2024-02-01,1195,95,540,None
4033,2024-02-02,7691,72,339,Cardio
4034,2024-02-03,3061,87,595,Strength
4035,2024-02-04,14169,68,585,Cardio
4036,2024-02-05,2280,69,733,None
4037,2024-02-06,7237,84,510,Cardio
4038,2024-02-07,14972,92,274,Yoga
4039,2024-02-08,3082,91,521,Cardio
4040,2024-02-09,9635,92,206,Cardio
4041,2024-02-10,3834,91,601,Yoga
4042,2024-02-11,2511,71,303,None
4043,2024-02-12,10284,77,747,Strength
4044,2024-02-13,2450,81,669,Strength
4045,2024-02-14,9619,67,409,Strength
4046,2024-02-15,4901,73,238,Yoga
4047,2024-02-16,7628,67,774,Cardio
4048,2024-02-17,4231,80,701,Yoga
4049,2024-02-18,13418,74,209,Yoga
4050,2024-02-19,9992,68,634,None
4051,2024-02-20,6733,90,728,Cardio
4052,2024-02-21,3050,70,195,None
4053,2024-02-22,14371,78,268,None
4054,2024-02-23,1000,80,633,None
4055,2024-02-24,11409,67,295,Yoga
4056,2024-02-25,7413,80,426,Cardio
4057,2024-02-26,11393,80,795,Strength
4058,2024-02-27,11695,88,384,Yoga
4059,2024-02-28,13854,70,525,Yoga
4060,2024-02-29,7016,73,322,Strength
4061,2024-03-01,11169,83,403,Yoga
4062,2024-03-02,8888,92,650,Cardio
4063,2024-03-03,13289,88,602,Strength
4064,2024-03-04,7390,92,627,Strength
4065,2024-03-05,11359,84,646,Yoga
4066,2024-03-06,12926,93,227,None
4067,2024-03-07,14761,91,297,Yoga
4068,2024-03-08,13586,78,691,Yoga
4069,2024-03-09,13304,70,672,Cardio
4070,2024-03-10,8643,73,512,Cardio
4071,2024-03-11,3541,73,554,Yoga
4072,2024-03-12,5188,75,279,None
4073,2024-03-13,12059,98,364,Yoga
4074,2024-03-14,9111,75,678,Yoga
4075,2024-03-15,6687,62,265,Cardio
4076,2024-03-16,3639,77,306,Strength
4077,2024-03-17,1068,97,668,Cardio
4078,2024-03-18,1506,68,305,Strength
4079,2024-03-19,8099,88,529,None
4080,2024-03-20,6715,94,184,Yoga
4081,2024-03-21,13629,69,474,None
4082,2024-03-22,12387,69,431,None
4083,2024-03-23,13378,88,779,Strength
4084,2024-03-24,12972,75,588,Strength
4085,2024-03-25,2328,76,226,Strength
4086,2024-03-26,6299,91,735,None
4087,2024-03-27,11649,87,541,None
4088,2024-03-28,8375,77,695,Yoga
4089,2024-03-29,2482,87,160,None
4090,2024-03-30,9340,82,497,Cardio
4091,2024-03-31,8971,61,253,Strength
4092,2024-04-01,14410,90,654,Strength
4093,2024-04-02,8179,61,213,Cardio
4094,2024-04-03,1396,99,391,Strength
4095,2024-04-04,8895,79,463,None
4096,2024-04-05,7333,76,299,Yoga
4097,2024-04-06,11548,63,393,Yoga
4098,2024-04-07,12708,85,443,Cardio
4099,2024-04-08,6781,73,711,Yoga
4100,2024-04-09,8720,62,184,None
